lat,lon,Depth,CTD pressure,CTD temperature,practical_salinity,stnnbr,geotrc_ID,sigma0,tc,conservative_temp,absolute_salinity,silicate,nitrate,phosphate,oxygen,conservative_temp_resid,absolute_salinity_resid,silicate_resid,nitrate_resid,phosphate_resid,oxygen_resid,AABW_frac_total,AAIW_frac_total,ENPCW_frac_total,ESSW_frac_total,EqIW_frac_total,LCDW_frac_total,NPIW_frac_total,PDW_frac_total,PSUW_frac_total,SPCW_frac_total,SPSTSW_frac_total,UCDW_frac_total,AABW_0_frac,AAIW_0_frac,AAIW_1_frac,ENPCW_frac,ENPCW_0_frac,ENPCW_1_frac,ESSW_frac,ESSW_0_frac,ESSW_1_frac,EqIW_0_frac,EqIW_1_frac,LCDW_0_frac,LCDW_1_frac,NPIW_0_frac,NPIW_1_frac,NPIW_2_frac,PDW_0_frac,PDW_1_frac,PDW_2_frac,PSUW_frac,PSUW_0_frac,PSUW_1_frac,SPCW_frac,SPCW_0_frac,SPCW_1_frac,SPSTSW_frac,UCDW_0_frac,phosphate_remin,nitrate_to_phosphate_remin_ratio,oxygen_to_phosphate_remin_ratio,phosphate_to_phosphate_remin_ratio
53.6771,-153.7966,1003.8106208180155,1015.3,2.732,34.4055,5,12359,27.459132410535176,0,2.6663016798047754,34.59083207470883,149.27,43.71,2.96,19.67,0.03864862941672298,0.021509550778937125,0.012165336728713783,0.6323928414563227,0.188838522087742,0.06772855977007453,1.1879368661830893e-07,0.0,5.256426622715784e-07,1.1360224559758392e-06,3.30362440122574e-06,0.008781145918249189,2.241506920114823e-06,0.9899146844478479,0.0012956686720089355,1.1753717677840272e-06,0.0,0.0,1.1879368661830893e-07,0.0,0.0,0.0,5.256426622715784e-07,0.0,0.0,2.7927928679187596e-07,8.567431691839632e-07,1.158148926530741e-06,2.145475474694999e-06,0.008780655976202813,4.899420463763627e-07,8.703691433598652e-07,0.0,1.371137776754958e-06,0.34729387441584814,0.6426206126298223,1.9740217746127259e-07,0.0,0.0012932088271541441,2.4598448547913456e-06,0.0,1.1753717677840272e-06,0.0,0.0,0.0,0.006391907098248829,27.269047020674915,-264.1688930127882,1.0
53.6771,-153.7966,805.0768605990461,813.9,3.0541,34.3348,5,12358,27.37166866388543,0,3.001474288620092,34.51827296686578,138.93,43.77,2.98,16.99,0.030606055808895416,0.029501435294911005,0.011165838488579993,0.45074079561341307,0.16707863683970903,0.04620042439909611,4.639995096186411e-08,9.306975164748807e-07,1.2880075120625431e-06,3.7104798867889345e-06,2.6120178011819006e-06,0.0077723698143079886,1.050622465823881e-06,0.9866575568000193,0.005558146220966524,1.8844856151776143e-06,0.0,4.044539576445601e-07,4.639995096186411e-08,4.211100024914643e-07,5.095875139834163e-07,0.0,8.215599759204683e-07,4.664475361420748e-07,0.0,1.2017314120578194e-06,2.508748474731115e-06,1.2224793636022274e-06,1.3895384375796733e-06,0.007772310464612024,5.934969596431757e-08,5.95980636034317e-07,1.3392718769951136e-07,3.207146420900527e-07,0.5427463421723976,0.4439109961474288,2.1848019291773398e-07,0.0,0.005557943399362917,2.0282160360708347e-07,0.0,1.4516292702443126e-06,4.3285634493330166e-07,0.0,4.044539576445601e-07,0.010751220620758417,29.31092879229252,-283.9496226753338,1.0
53.6771,-153.7966,604.6704312615026,611.0,3.3742,34.2541,5,12357,27.274788073855007,0,3.3352759740084656,34.435223650416106,127.61,43.79,2.99,15.94,0.021215537692969466,0.014141129023407473,0.008971199767657367,0.2686396064957606,0.12331665545081227,0.027702719957776623,6.025826456071176e-08,4.92423968566282e-07,2.56698122759519e-06,6.7357514130644564e-06,2.706479345121629e-06,0.009080916717983816,0.0048802559621321275,0.947136069135827,0.036140607791542476,2.899534628507575e-06,0.0,0.0027466889636670305,6.025826456071176e-08,2.3513612656930887e-07,2.5728784199697313e-07,0.0,1.5829369620966346e-06,9.840442654985555e-07,0.0,2.377942246045527e-06,4.357809167018929e-06,8.960468466343667e-07,1.8104324984872623e-06,0.009080913241437043,3.4765467726034325e-09,8.00844871155249e-07,1.603281206996106e-07,0.004879294789140272,0.6633155494263977,0.2838205197094293,0.0,0.0,0.036140607791542476,0.0,0.0,2.154693061697343e-06,7.448415668102315e-07,0.0,0.0027466889636670305,0.04214648156011299,31.512154120132738,-305.27399303878593,0.9999999999999999
53.6771,-153.7966,451.64216319736335,456.2,3.6594,34.167,5,12356,27.175401685017277,0,3.631317780503829,34.345816824040504,115.71,43.78,2.99,16.45,0.014052837079814307,0.007624259546751944,0.005877237284082071,0.16606523332038137,0.10071292235211482,0.01761314624551602,0.0,0.0,0.0,0.0,0.0,0.0057955577309409196,0.0048363051541031946,0.8809061828898417,0.10846193799877425,0.0,0.0,1.622633992731347e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057955577309409196,0.0,0.0,0.0,0.0048363051541031946,0.7471009518421664,0.13380523104767525,0.0,0.0,0.026106774779273326,0.08235516321950093,0.0,0.0,0.0,0.0,1.622633992731347e-08,0.0660406051737645,31.425435620865716,-304.4339075771366,0.9999999999999999
53.6771,-153.7966,303.34943265575623,306.3,3.9002,34.0219,5,12355,27.032761936305178,0,3.8836830899374015,34.19725918819164,100.1,44.15,3.01,20.64,0.0006899518083449685,-3.957026208922798e-06,-0.0019946499399594586,9.125896716710713e-05,-3.3111301120936076e-05,0.0017592287908669846,0.0,0.0,0.0,0.0,0.0,6.05541876401558e-06,0.08757961762441273,0.6421325098156557,0.27028181714116745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.05541876401558e-06,0.0,0.0,0.0,0.08757961762441273,0.5528273205610454,0.08381374635161397,0.00549144290299634,0.0,0.005559990264068702,0.2647218268770987,0.0,0.0,0.0,0.0,0.0,0.15562452956769482,31.547169811320753,-305.6132075471698,1.0
53.6799,-153.8006,4575.484055205201,4667.0,1.4921,34.6866,5,12426,27.80738814688425,0,1.0971035293257938,34.874934415886166,155.88,35.85,2.42,153.7,0.022025735724089834,-0.005788711621832476,0.00036454708518363077,-0.03410118838275622,0.07493653427905667,8.896747942799266e-07,0.02321773825499423,0.0,0.0,0.0,6.161908442988546e-09,0.2542932338181548,0.0036818120202910263,0.7078311513253397,0.0,0.0009031224280005202,0.0,0.010072935991311321,0.02321773825499423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0728588796086945e-09,4.089049563379851e-09,1.2010162508448818e-09,0.25429323261713854,0.0036818120202910263,0.0,0.0,0.0,0.0,0.7078311513253397,0.0,0.0,0.0,0.0,0.0009031224280005202,0.0,0.0,0.010072935991311321,0.004335688341333708,31.547111552504347,-305.61264316488587,1.0
53.6799,-153.8006,4500.573531925239,4589.8,1.5052,34.6841,5,12425,27.804059159833287,0,1.1188574656997083,34.87262561549711,158.71,36.16,2.45,149.05,0.02651059971424452,-0.0024061481285073683,-3.2583231501348564e-05,4.73413977886139e-06,0.06818720722445892,1.0114831496821353e-05,0.003396999024679806,0.0,3.591541028475875e-10,0.0,0.0,0.2332958903359514,0.0028653250927754307,0.7589510259192773,0.0,0.0014907592681618546,0.0,0.0,0.003396999024679806,0.0,0.0,0.0,3.591541028475875e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2332958903359514,0.0028653250927754307,0.0,0.0,0.0,0.004550627120641363,0.754400398798636,0.0,0.0,0.0,0.0,0.0014907592681618546,0.0,0.0,0.0,0.009829648282266207,23.787022173489177,-230.43677730567643,1.0
53.6799,-153.8006,4350.774853486484,4435.5,1.5135,34.6818,5,12424,27.800622443275188,0,1.1448011105494431,34.87054922631365,163.1,36.54,2.46,144.06,0.02061970550539871,-0.0017681322404001776,0.0001366682449486234,9.95503830623079e-05,0.08606780737571684,-0.00035440022517718717,5.1981609587435586e-08,7.149414056049817e-07,1.1061009003883778e-07,5.620944114385215e-07,3.0933259498077638e-06,0.15737463288958123,0.0007417679973070486,0.8406495894241732,4.671493895743363e-07,0.0012285051970377368,0.0,5.043890446699038e-07,5.1981609587435586e-08,2.577625409358001e-07,4.571788646691817e-07,0.0,0.0,1.1061009003883778e-07,0.0,3.7990060180302187e-07,1.8219380963549956e-07,1.427676505131225e-06,1.6656494446765388e-06,1.9909428601894223e-07,0.1573744337952952,0.0007411028540886103,0.0,6.651432184384156e-07,7.175209017407525e-07,0.010521201700386023,0.8301276702028855,0.0,0.0,4.671493895743363e-07,0.0,0.0012283023352609329,2.0286177680387565e-07,0.0,5.043890446699038e-07,0.004837049296031408,31.53379630372165,-305.4836516923035,0.9999999999999999
53.6799,-153.8006,4149.462127846898,4228.3,1.504,34.6799,5,12423,27.798275184033628,0,1.1591574940144105,34.86884720548038,163.39,36.64,2.48,142.63,0.02267627590919208,-0.001085316001670833,-0.002172476218703423,0.018616291659562023,0.07069070931665511,0.0018705717064051441,0.0,0.0,0.0,0.0,0.0,0.1467269172741249,0.0029715961688008023,0.8492651134687406,0.0,0.0010363730883338161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2494512277442508e-07,0.14672679232900213,0.0029715961688008023,0.0,0.0,0.0,0.0072962456985357,0.8419688677702049,0.0,0.0,0.0,0.0,0.0010363730883338161,0.0,0.0,0.0,0.009897190546360632,27.979684612116305,-271.0531946798767,1.0
53.6799,-153.8006,3501.73638786722,3562.9,1.4993,34.6711,5,12422,27.786782820252483,0,1.2264097973201833,34.86029437321844,164.96,37.4,2.52,131.04,0.018379882724824714,-3.853421868171836e-05,0.0049104538286712796,0.18652053960025938,0.08229657860271855,0.01801063258832869,0.014887261129836895,5.5435220482189494e-06,0.0,0.0,1.165027838674441e-06,0.072125611471514,0.0,0.9111845877159954,0.0017930107826388054,0.0,0.0,2.8203501279721793e-06,0.014887261129836895,2.3008554018459493e-06,3.242666646373e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.165027838674441e-06,0.0,0.06935132741651173,0.002774284055002269,0.0,0.0,0.0,0.0,0.03572953377210187,0.8754550539438936,0.0,0.0017919272406991746,1.083541939630721e-06,0.0,0.0,0.0,0.0,2.8203501279721793e-06,0.027594917842748663,26.573125735235248,-257.4271555600914,1.0
